norma_id,norma,escala,tipo,uso,parametro_id,parametro,minimo,maximo,umbral_ligero,umbral_severo,unidad,expresado_como,tipo_de_valor,condicion,nota,cita
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,cr,Cromo total,,0.05,,,mg/L,,salud,,Cromo total.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,cu,Cobre,,2,,,mg/L,,salud,,Por debajo de este valor puede manchar ropa y sanitarios.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,f,Fluoruro,,1.5,,,mg/L,,salud,,Considerar el volumen consumido y el aporte de otras fuentes.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,pb,Plomo,,0.01,,,mg/L,,salud,,Provisional (analítica y tratamiento).,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,mn,Manganeso,,0.08,,,mg/L,,salud,,"Provisional. Manganeso total; también afecta color y gusto.","WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,hg,Mercurio,,0.006,,,mg/L,,salud,,Para mercurio inorgánico.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,ni,Níquel,,0.07,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,no3,Nitrato,,50,,,mg/L,NO3,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,no2,Nitrito,,3,,,mg/L,NO2,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,se,Selenio,,0.04,,,mg/L,,salud,,Provisional.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,u,Uranio,,0.03,,,mg/L,,salud,,Provisional.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,ecoli,Escherichia coli,,0,,,UFC/100 mL,,salud,,No detectable en 100 ml.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,sdt,Sólidos disueltos totales,,1000,,,mg/L,,estetico,,Por encima de unos 1.000 mg/l el agua se vuelve cada vez menos aceptable al gusto (cap. 10). No es un valor de salud.,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,cl,Cloruro,,250,,,mg/L,,estetico,,Umbral de gusto aproximado: 200–300 mg/l (cap. 10).,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,so4,Sulfato,,250,,,mg/L,,estetico,,Umbral de gusto aproximado: 250–1.000 mg/l según el catión (cap. 10).,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,na,Sodio,,200,,,mg/L,,estetico,,Umbral de gusto aproximado (cap. 10).,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,fe,Hierro,,0.3,,,mg/L,,estetico,,"Gusto y manchas desde unos 0,3 mg/l (cap. 10).","WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,sb,Antimonio,,0.01,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,as,Arsénico,,0.01,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,b,Boro,,1.5,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,bro3,Bromato,,0.01,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,cd,Cadmio,,0.005,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,cr,Cromo total,,0.05,,,mg/L,,salud,,"25 µg/l desde el 12/01/2036; hasta entonces, 50 µg/l.","Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,cu,Cobre,,2,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,cn,Cianuro,,0.05,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,f,Fluoruro,,1.5,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,pb,Plomo,,0.01,,,mg/L,,salud,,"5 µg/l desde el 12/01/2036; hasta entonces, 10 µg/l.","Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,hg,Mercurio,,0.001,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,ni,Níquel,,0.02,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,no3,Nitrato,,50,,,mg/L,NO3,salud,,Además: [nitrato]/50 + [nitrito]/3 ≤ 1 (ver «Iones y derivados»).,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,no2,Nitrito,,0.5,,,mg/L,NO2,salud,,"0,10 mg/l a la salida de la planta.","Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,se,Selenio,,0.02,,,mg/L,,salud,,30 µg/l en zonas con geología que lo justifique.,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,u,Uranio,,0.03,,,mg/L,,salud,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,ecoli,Escherichia coli,,0,,,UFC/100 mL,,salud,,0 en 100 ml.,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,al,Aluminio,,0.2,,,mg/L,,indicador,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,nh4,Amonio,,0.5,,,mg/L,NH4,indicador,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,cl,Cloruro,,250,,,mg/L,,indicador,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,ce,Conductividad eléctrica,,2500,,,µS/cm,,indicador,,A 20 °C.,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,ph,pH,6.5,9.5,,,unid. pH,,indicador,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
ue2020,"Directiva (UE) 2020/2184, anexo I (partes A, B y C)",Regional · Unión Europea,Obligatoria en la UE,consumo,fe,Hierro,,0.2,,,mg/L,,indicador,,,"Directiva (UE) 2020/2184 del Parlamento Europeo y del Consejo, de 16 de diciembre de 2020, relativa a la calidad de las aguas destinadas al consumo humano. DO L 435 de 23/12/2020. Anexo I."
